"Dirty Tricks Swordfighting",5/2/2014,19:00,5/2/2014,19:50,FALSE,"In a real swordfight, you want as many as you can get.  At Aegis Consulting, it's just another practice.  Speakers include:Sal Sanfratello","Windover",PUBLIC
"One Deep Breath: Psychology in Fighting",5/2/2014,20:00,5/2/2014,20:50,FALSE,"Explore the impact of psychology in combat.  Speakers include:Sal Sanfratello","Windover",PUBLIC
"Kinky Pervertibles",5/2/2014,21:00,5/2/2014,21:50,FALSE,"Sure you can go out and spend massive bucks on custom and professionally made kinky tools, but you don't need to.  Come find out some great places to find them for cheap, and how to find things that were not intended to be used as one but work even better.  Chances are, you'll never look at a shopping trip the same again.  Speakers include:Metalex","Windover",PUBLIC
"Information Doesn't Want to be Free",5/3/2014,10:00,5/3/2014,10:50,FALSE,"If you think the copyright wars are about who gets to watch movies and when, you've missed the big picture.  Speakers include:Cory Doctorow","Windover",PUBLIC
"Virtual Reality: Fact vs. Fiction",5/3/2014,11:00,5/3/2014,11:50,FALSE,"How close are we to being inserted into The Matrix? Join our GoHs Ernie Cline and Ed Mason as we figure out what is fiction and what is reality.   Speakers include:Ernie Cline, Ed Mason","Windover",PUBLIC
"A Special Reading by Cory Doctorow",5/3/2014,12:00,5/3/2014,12:50,FALSE,"A sneak peek at an untitled, in-progress novel for adults, that is something of a prequel to Down and Out in the Magic Kingdom, in the vein of Makers. You'll be the first people apart from Cory himself to come into contact with this material!  Speakers include:Cory Doctorow","Windover",PUBLIC
"Copyright vs Free Information",5/3/2014,13:00,5/3/2014,13:50,FALSE,"What happens when the concept of 'information can't be contained' clashes with content creators who want monetary recompense for their hard work?  Speakers include:Michael W. Lucas, Shetan Noir, Eva Galperin, Cory Doctorow","Windover",PUBLIC
"When Did We Get Cool? The SFF Explosion on Screen",5/3/2014,14:00,5/3/2014,14:50,FALSE,"In a world where some of the most watched shows deal with SFF themes or have been adapted from SFF material (Game of Thrones, The Walking Dead, The Lord of the Rings/The Hobbit, The Avengers et. al.) where does the “mainstream” line get drawn?  Why is it suddenly acceptable for the SFF genre to be viewed?  Has this translated over to the written word?  Side question: why has mystery always been more or less accepted but SFF is a more recent explosion?  Speakers include:Ernie Cline, Sean M. Davis, Michael Cieslak, Nicole Castle, Jim Leach, John Scalzi","Windover",PUBLIC
"Why Do We Love The 80's?",5/3/2014,15:00,5/3/2014,15:50,FALSE,"Our GoH Ernie Cline discusses the Greatest Decade Ever, its role in his creative work, and why we still have a soft spot for it, 30 years later.  Speakers include:Ernie Cline, Ferrett Steinmetz, Angie Rush","Windover",PUBLIC
"Why is Fandom so Damn Pale and Male?",5/3/2014,16:00,5/3/2014,16:50,FALSE,"A serious question from the Penguicon Board President: Why isn't fandom (Open Source and/or SFF) a better representation of the culture and people of the local area? This is a problem. What can we do about it? Invite more non-male, non-white GoHs? (Check) Suggest materials to friends from a wider range of authors? What can we do? What are you doing?  Speakers include:Randy Bradakis","Windover",PUBLIC
"Ask the Authors",5/3/2014,17:00,5/3/2014,17:50,FALSE,"A small panel followed by open Q&A/Suggestions.  Speakers include:Ernie Cline, Mary Lynne Gibbs, Cory Doctorow, John Scalzi   ","Windover",PUBLIC
"Building a Career in IT",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Considering a career in IT or looking to advance your existing career?  Technical professionals at the top of their field tell you how they got there and how to avoid the pitfalls on your way to the top.  Speakers include:Matt Hargraves, Nuri Gocay, Joe Bender","Windover",PUBLIC
"Bitcoin, Dogecoin, and Cryptocurrencies… What’s the Big Deal?",5/3/2014,19:00,5/3/2014,19:50,FALSE,"What's a cryptocurrency and why do we need it? What is Bitcoin mining? Why is Bitcoin so volatile? What is this scary new money and why is it important in our ever-changing world?  Speakers include:YTCracker, Nick Farr","Windover",PUBLIC
"Flirting for Geeks",5/3/2014,20:00,5/3/2014,22:50,FALSE,"Come learn how to (and how not to) flirt from some of our local fandom's biggest flirts.  Not only is it laugh-out-loud funny, it's an irreverent and honest reflection of love, sex, and fandom. Find ways to woo, methods for making friends, and how to avoid being that creepy guy that we all talk about between conventions.  Speakers include:Nuri Gocay, Dawn Kuczwara, Greg Williams, Scott Kennedy, Jer Lance, Christopher Pate","Windover",PUBLIC
"The Future of Virtual Reality",5/4/2014,10:00,5/4/2014,10:50,FALSE,"With the Oculus Rift being bought by media giant Facebook, the cautionary tales of science fiction seem closer than ever to reality.  Join authors Ernie Cline and John Scalzi, and Android VR creator Gameface Labs, as they talk about where our communal virtual fantasy is headed.  Speakers include:Ernie Cline, Ed Mason, John Scalzi","Windover",PUBLIC
"How to Use your Passions to Make Money",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Think about something you really love to do. Chances are you find it energizing, inspiring, challenging, and heart-opening, right? Next question: do you get to spend all day doing that thing? If you said 'no,' why not? Erika Carlson shares suggestions and lessons from experience on finding, doing, and getting paid for what you love, without living on ramen (unless you're into that).   Speakers include:Erika Carlson","Windover",PUBLIC
"The Living Western Martial Arts",5/4/2014,12:00,5/4/2014,12:50,FALSE,"Increasingly, we are developing the ability to study the martial traditions of many western cultures.  This panel will discuss the philosophy, source materials, tools, and techniques of modern Western martial arts.  Speakers include:Taylor Watkins, Douglas Scholl, Heather Gutterman","Windover",PUBLIC
"Q & A With the Lit GOH: Fanboys, Ready Player One, and More",5/4/2014,13:00,5/4/2014,13:50,FALSE,"Sit down with our Literature Guest of Honor, Ernie Cline, and discuss writing, his works including Ready Player One, and whatever else comes up.  Speakers include:Ernie Cline","Windover",PUBLIC
"Author Readings",5/4/2014,14:00,5/4/2014,15:50,FALSE,"Readings by Literature Track Guests and Panelists  Speakers include:Ken MacGreggor, Mary Lynne Gibbs, Nicole Castle, John Scalzi","Windover",PUBLIC
